Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,2.9,9.2,174.8,66,525,,
2,5.5,19.3,146.2,112,685,26,
3,8.6,32.1,127.7,168,878,23,
4,11.7,45.3,119.6,205,1004,21,
5,14.2,55.9,119.6,205,1004,21,
6,17.3,69.4,117.1,218,1050,21,
7,19.9,80.3,117.1,218,1050,21,
8,23.0,93.7,115.2,229,1087,20,
9,26.1,107.2,116.3,222,1065,20,
10,29.2,120.5,117.7,215,1038,21,
11,31.7,131.2,117.7,215,1038,21,
12,34.8,144.5,118.0,213,1033,20,
13,37.9,157.5,117.8,214,1036,20,
14,41.0,170.8,118.7,209,1020,20,
15,44.1,183.8,117.4,216,1044,20,
16,47.2,196.5,118.4,211,1025,19,
17,50.3,209.2,123.4,186,941,20,
18,53.4,222.0,121.1,197,978,20,
19,55.9,232.4,121.1,197,978,20,
20,59.1,245.4,120.6,200,986,20,
21,62.1,258.0,121.7,194,968,21,
22,65.2,270.8,122.2,192,960,20,
23,68.3,283.5,121.5,195,971,20,
24,71.4,296.3,121.5,195,971,20,
25,74.0,306.8,121.5,195,971,20,
26,77.1,319.8,119.8,204,1000,20,
27,80.1,332.6,119.8,204,1000,20,
28,83.2,345.5,120.6,200,986,20,
29,86.3,357.9,121.3,196,974,19,
30,89.4,370.7,123.4,186,941,20,
31,92.5,383.6,121.2,197,976,20,
32,95.6,396.5,120.5,200,988,19,
33,98.7,409.4,120.2,202,993,20,
34,101.8,422.2,120.5,200,988,19,
35,105.4,437.7,119.0,208,1014,19,
36,108.5,450.5,120.9,198,981,19,
37,111.6,463.7,118.2,212,1029,20,
38,114.6,477.5,112.8,244,1139,20,
39,117.7,491.5,109.8,264,1209,19,
40,120.8,504.7,116.9,219,1054,19,
41,123.9,517.6,120.7,199,985,19,
42,127.0,530.5,119.5,205,1005,20,
43,130.1,543.2,121.9,193,964,19,
44,133.2,556.1,121.0,198,979,20,
45,135.7,566.2,121.0,198,979,20,
46,138.8,578.8,123.1,188,945,20,
47,141.9,591.4,123.4,186,941,20,
48,145.0,604.1,122.9,189,948,20,
49,148.1,617.2,120.9,198,981,20,
50,151.2,630.5,118.9,208,1016,20,
51,154.2,643.7,117.2,217,1048,20,
52,157.3,657.0,117.5,216,1042,20,
53,160.4,670.2,118.5,210,1023,20,
54,163.5,683.0,120.6,200,986,20,
55,166.1,693.4,120.6,200,986,20,
56,169.2,706.5,120.8,199,983,21,
57,172.3,719.5,119.5,205,1005,20,
58,175.3,732.4,120.1,202,995,20,
59,177.9,742.9,120.1,202,995,20,
60,181.0,755.9,120.1,202,995,21,
61,184.1,768.6,120.4,201,990,20,
62,187.2,781.4,122.6,190,953,20,
63,189.7,791.6,122.6,190,953,20,
64,192.8,804.1,122.7,189,952,20,
65,195.9,816.7,124.6,181,922,20,
66,199.0,829.8,120.1,202,995,21,
67,201.6,840.2,120.1,202,995,21,
68,204.6,852.9,121.0,198,979,20,
69,207.7,865.8,122.2,192,960,21,
70,210.8,878.6,121.1,197,978,21,
71,213.3,889.0,121.1,197,978,21,
72,216.5,902.2,119.3,206,1009,20,
73,219.5,915.5,118.9,208,1016,20,
74,222.6,928.7,118.6,210,1022,21,
75,225.2,939.4,118.6,210,1022,21,
76,228.3,952.5,119.0,208,1014,20,
77,230.9,963.3,118.5,210,1023,21,
78,233.9,976.5,117.9,214,1034,22,
79,236.5,987.2,118.7,209,1020,21,
80,239.6,1000.4,118.2,212,1029,21,
81,242.2,1011.1,118.2,212,1029,21,
82,245.2,1025.2,111.7,251,1164,22,
83,247.8,1036.6,111.7,251,1164,22,
84,250.9,1050.6,110.5,259,1192,21,
85,254.0,1064.3,113.8,237,1117,20,
86,256.5,1075.7,113.8,237,1117,20,
87,259.6,1089.9,111.0,256,1180,21,
88,262.2,1101.3,110.4,260,1195,21,
89,265.3,1115.7,110.7,258,1187,21,
90,268.4,1129.8,110.7,258,1187,20,
91,271.5,1143.6,112.1,248,1155,20,
92,274.1,1154.8,112.1,248,1155,20,
93,277.2,1168.9,111.8,250,1161,21,
94,279.7,1180.3,111.8,250,1161,21,
95,282.8,1194.2,111.2,255,1176,21,
96,285.9,1208.2,112.3,247,1150,21,
97,288.5,1219.3,112.3,247,1150,21,
98,291.6,1233.5,112.4,246,1148,20,
99,294.7,1247.6,110.8,257,1185,20,
100,297.2,1259.1,110.8,257,1185,20,
101,300.3,1273.2,110.3,261,1197,21,
102,302.9,1284.9,110.8,257,1185,21,
103,306.0,1299.5,108.4,275,1245,21,
104,308.5,1311.3,108.0,278,1256,21,
105,311.6,1326.1,107.0,286,1283,21,
106,314.2,1337.8,107.0,286,1283,21,
107,317.3,1352.0,110.0,263,1205,21,
108,319.9,1363.6,110.0,263,1205,21,
109,322.9,1377.8,110.2,262,1200,22,
110,325.5,1389.3,110.2,262,1200,22,
111,328.6,1403.3,111.9,250,1159,21,
112,331.2,1414.6,111.9,250,1159,21,
113,336.8,1436.4,112.6,245,1143,21,
114,339.4,1447.2,131.7,153,827,11,
115,342.5,1461.6,109.7,265,1212,22,
116,345.1,1472.9,109.7,265,1212,22,
117,348.1,1487.0,111.2,255,1176,21,
118,350.7,1498.5,111.2,255,1176,21,
119,353.8,1512.4,112.3,247,1150,21,
120,356.4,1524.0,112.3,247,1150,21,
121,358.9,1535.7,109.8,264,1209,21,
122,362.0,1550.0,109.6,266,1214,21,
123,364.6,1561.4,109.9,264,1207,22,
124,367.7,1575.6,111.4,253,1171,21,
125,370.2,1586.9,111.0,256,1180,21,
126,373.4,1601.2,111.2,255,1176,21,
127,376.4,1615.3,110.9,257,1183,21,
128,379.0,1626.9,110.9,257,1183,21,
129,382.1,1641.0,111.2,255,1176,22,
130,384.7,1652.4,111.2,255,1176,22,
131,387.2,1664.0,111.2,255,1176,21,
132,390.3,1678.1,111.2,255,1176,21,
133,392.9,1689.6,111.0,256,1180,22,
134,396.0,1703.6,112.0,249,1157,21,
135,398.5,1715.0,112.0,249,1157,21,
136,401.1,1726.5,111.2,255,1176,22,
137,404.2,1740.4,111.4,253,1171,22,
138,407.3,1754.2,112.9,243,1137,21,
139,409.9,1765.4,113.3,241,1128,20,
140,413.0,1779.1,113.9,237,1115,22,
141,415.5,1790.2,114.5,233,1102,21,
142,418.6,1804.1,114.2,235,1108,21,
143,421.7,1818.2,111.8,250,1161,21,
144,424.3,1829.3,111.8,250,1161,21,
145,427.4,1843.0,113.7,238,1119,20,
146,430.4,1856.4,116.3,222,1065,21,
147,433.0,1867.4,116.3,222,1065,21,
148,436.1,1881.2,114.1,236,1110,21,
149,438.7,1892.3,114.1,236,1110,21,
150,441.2,1903.6,113.9,237,1115,21,
151,444.3,1917.4,113.0,243,1134,22,
152,446.9,1928.6,113.6,239,1121,21,
153,450.0,1942.6,112.7,245,1141,21,
154,453.1,1956.4,113.0,243,1134,21,
155,455.6,1967.4,113.0,243,1134,21,
156,458.7,1981.1,114.8,231,1096,21,
157,461.3,1992.1,114.8,231,1096,21,
158,464.4,2005.3,120.0,203,997,21,
159,467.0,2015.7,120.0,203,997,21,
160,469.5,2025.7,123.4,186,941,22,
161,472.1,2035.7,128.5,165,867,22,
162,475.2,2048.7,120.8,199,983,22,
163,477.8,2059.2,120.8,199,983,22,
164,480.8,2071.5,122.0,193,963,20,
165,483.4,2081.9,125.6,177,907,21,
166,486.5,2094.8,121.5,195,971,21,
167,489.6,2107.7,121.1,197,978,20,
168,492.2,2118.4,121.1,197,978,20,
169,495.2,2131.5,118.9,208,1016,21,
170,497.8,2142.4,118.9,208,1016,21,
171,500.9,2155.7,117.8,214,1036,21,
172,503.5,2166.4,117.8,214,1036,21,
173,506.0,2177.4,119.2,207,1011,22,
174,509.1,2190.7,115.7,226,1077,22,
175,512.2,2204.0,117.5,216,1042,21,
176,514.8,2214.7,117.5,216,1042,21,
177,517.9,2227.7,120.6,200,986,22,
178,520.4,2238.0,120.6,200,986,22,
179,523.5,2250.5,126.1,175,900,21,
180,526.1,2260.9,126.1,175,900,21,
181,529.2,2273.6,123.8,184,934,22,
182,531.8,2283.4,123.8,184,934,22,
