Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,3.3,11.6,156.3,92,615,,
2,6.3,23.3,136.1,139,777,22,
3,9.4,35.7,132.0,152,823,20,
4,12.0,46.2,126.3,174,897,20,
5,15.1,59.0,121.0,198,979,21,
6,18.2,71.8,121.5,195,971,20,
7,20.8,82.1,123.6,185,937,21,
8,23.9,95.0,121.8,194,966,21,
9,26.9,107.7,120.1,202,995,20,
10,30.0,120.5,122.7,189,952,20,
11,33.1,133.3,121.4,196,973,21,
12,35.7,143.6,121.4,196,973,21,
13,38.8,156.4,122.2,192,960,20,
14,41.8,169.3,120.9,198,981,21,
15,44.4,179.7,120.9,198,981,21,
16,47.5,192.7,120.7,199,985,22,
17,50.1,203.1,120.7,199,985,22,
18,53.2,215.8,121.9,193,964,21,
19,56.2,228.2,124.9,180,918,20,
20,58.8,238.5,124.9,180,918,20,
21,61.9,251.4,122.3,191,958,21,
22,65.0,264.1,121.4,196,973,21,
23,68.1,276.9,121.7,194,968,21,
24,70.7,287.4,121.7,194,968,21,
25,73.8,300.1,122.7,189,952,21,
26,76.3,310.5,122.5,190,955,20,
27,79.4,323.3,122.1,192,961,21,
28,82.5,336.4,120.0,203,997,21,
29,85.0,346.7,120.0,203,997,21,
30,88.1,359.4,121.6,195,969,21,
31,90.7,369.8,122.8,189,950,21,
32,93.8,382.8,122.5,190,955,21,
33,96.4,393.3,121.3,196,974,21,
34,99.5,406.3,120.7,199,985,22,
35,102.0,416.5,121.0,198,979,21,
36,105.1,429.2,122.9,189,948,21,
37,108.2,441.9,123.0,188,947,21,
38,110.8,452.5,123.0,188,947,21,
39,113.8,465.2,121.5,195,971,21,
40,116.9,478.0,121.6,195,969,21,
41,119.5,488.2,121.6,195,969,21,
42,122.6,500.7,123.6,185,937,20,
43,125.7,513.7,124.0,184,931,20,
44,128.7,526.6,119.7,204,1002,20,
45,131.8,539.4,119.6,205,1004,20,
46,134.9,552.1,122.8,189,950,20,
47,137.5,562.5,122.8,189,950,20,
48,140.5,575.2,121.5,195,971,20,
49,143.6,587.8,122.7,189,952,21,
50,146.7,600.7,120.7,199,985,20,
51,149.3,611.2,120.7,199,985,20,
52,152.4,624.0,120.8,199,983,21,
53,155.5,636.7,121.5,195,971,20,
54,158.5,649.2,122.6,190,953,20,
55,161.6,662.0,121.0,198,979,20,
56,164.2,672.7,121.0,198,979,20,
57,167.3,685.7,118.2,212,1029,21,
58,170.4,698.6,119.6,205,1004,20,
59,173.4,711.2,121.8,194,966,20,
60,176.5,723.9,123.0,188,947,20,
61,179.1,734.5,123.0,188,947,20,
62,182.2,747.7,118.5,210,1023,21,
63,184.8,758.2,118.5,210,1023,21,
64,187.9,770.8,120.9,198,981,21,
65,191.0,783.4,124.7,180,921,21,
66,193.5,793.7,124.7,180,921,21,
67,196.6,806.8,122.4,191,956,21,
68,199.7,820.0,118.8,209,1018,21,
69,202.3,830.3,118.8,209,1018,21,
70,205.3,843.3,121.5,195,971,21,
71,208.4,856.2,122.0,193,963,21,
72,211.0,866.4,122.0,193,963,21,
73,214.1,879.3,120.9,198,981,21,
74,216.6,889.7,120.9,198,981,21,
75,219.7,902.5,122.2,192,960,21,
76,222.3,913.0,122.2,192,960,21,
77,225.4,925.7,123.5,186,939,21,
78,228.0,936.0,123.5,186,939,21,
79,231.0,948.8,122.3,191,958,21,
80,233.6,959.2,122.3,191,958,21,
81,236.7,972.0,122.8,189,950,21,
82,239.3,982.4,121.9,193,964,21,
83,242.4,995.3,122.6,190,953,21,
84,245.5,1008.1,121.5,195,971,20,
85,248.0,1018.6,121.2,197,976,20,
86,251.1,1031.4,121.2,197,976,21,
87,254.2,1044.3,121.3,196,974,21,
88,256.8,1055.0,121.3,196,974,21,
89,259.9,1068.0,119.6,205,1004,21,
90,262.4,1078.5,120.1,202,995,21,
91,265.5,1091.7,119.0,208,1014,22,
92,268.1,1102.5,119.0,208,1014,22,
93,270.6,1113.2,118.6,210,1022,22,
94,273.7,1126.1,121.9,193,964,21,
95,276.3,1136.4,121.9,193,964,21,
96,279.4,1148.9,124.5,181,924,20,
97,282.0,1159.1,124.5,181,924,20,
98,285.1,1171.9,124.0,184,931,21,
99,288.1,1184.6,122.5,190,955,21,
100,291.2,1197.2,123.2,187,944,20,
101,294.3,1210.0,121.8,194,966,20,
102,296.9,1220.2,121.8,194,966,20,
103,299.4,1230.7,122.9,189,948,21,
104,302.5,1243.6,121.4,196,973,22,
105,305.6,1256.4,122.5,190,955,21,
106,308.2,1266.7,122.5,190,955,21,
107,311.3,1279.6,122.3,191,958,21,
108,314.3,1292.3,122.8,189,950,21,
109,316.9,1302.4,122.8,189,950,21,
110,319.5,1312.8,124.8,180,919,21,
111,322.6,1325.6,122.5,190,955,21,
112,325.1,1335.9,123.0,188,947,21,
113,328.2,1348.4,123.5,186,939,22,
114,330.8,1358.6,125.2,178,913,21,
115,333.9,1371.3,124.3,182,927,21,
116,336.4,1381.6,124.3,182,927,21,
117,339.5,1394.4,122.2,192,960,21,
118,342.1,1404.7,122.2,192,960,21,
119,345.2,1417.3,123.5,186,939,21,
120,348.3,1430.2,122.2,192,960,21,
121,350.9,1440.9,122.2,192,960,21,
