Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.0,2.5,210.1,38,429,,
2,3.6,10.0,210.1,38,429,,
3,6.7,20.8,171.5,69,538,22,
4,9.8,32.3,144.3,116,700,20,
5,12.9,44.1,134.8,143,791,19,
6,16.0,56.2,128.9,163,862,19,
7,19.1,68.6,124.9,180,918,20,
8,22.2,81.2,123.4,186,941,20,
9,24.8,91.4,123.4,186,941,20,
10,27.9,104.0,123.0,188,947,20,
11,31.0,116.5,124.9,180,918,20,
12,34.0,129.1,124.4,182,925,20,
13,37.1,141.7,123.3,187,942,20,
14,40.2,154.4,123.3,187,942,20,
15,42.8,164.5,123.3,187,942,20,
16,45.9,177.2,124.4,182,925,20,
17,49.0,189.8,123.1,188,945,20,
18,52.1,202.4,124.4,182,925,20,
19,55.2,214.8,125.0,179,916,20,
20,57.8,225.0,125.0,179,916,20,
21,60.9,237.6,123.8,184,934,20,
22,64.0,250.2,122.9,189,948,20,
23,67.1,262.8,123.6,185,937,20,
24,70.1,275.3,124.0,184,931,20,
25,73.2,287.7,124.4,182,925,20,
26,76.3,300.1,125.2,178,913,19,
27,79.4,312.6,124.9,180,918,19,
28,82.5,325.2,123.6,185,937,19,
29,85.6,337.8,122.7,189,952,19,
30,89.2,352.6,124.5,181,924,19,
31,92.3,365.1,124.2,183,928,19,
32,95.4,377.6,124.2,183,928,19,
33,98.5,389.9,123.6,185,937,19,
34,101.6,402.3,125.2,178,913,19,
35,104.7,414.8,124.6,181,922,19,
36,107.8,427.2,124.3,182,927,19,
37,111.4,442.0,124.7,180,921,19,
38,114.5,454.4,124.7,180,921,19,
39,117.6,466.8,124.5,181,924,19,
40,120.7,479.1,124.3,182,927,19,
41,123.8,491.7,125.6,177,907,19,
42,126.9,504.2,124.1,183,930,20,
43,129.9,516.7,124.6,181,922,20,
44,133.0,528.9,127.0,171,888,19,
45,136.1,541.4,125.2,178,913,20,
